,names,values
1145,Meret,M
1146,Merian,M
1147,Mervyn,M
1148,Mevlut,M
1149,Micah,M
1150,Michael,M
1151,MichaåÕÌ¢l,M
1152,Micheal,M
1153,Michel,M
1154,Michele,M
1155,Micheline,F
1156,Michelle,F
1157,Michiomi,M
1158,Mick,M
1159,Mickey,M
1160,Mie,M
1161,Mieke,F
1162,Miguel,M
1163,Miha,M
1164,Mihai,M
1165,Mihalis,M
1166,Mika,M
1167,Mike,M
1168,Mikel,M
1169,Mikhail,M
1170,Mikkel,M
1171,Mila,F
1172,Milan,M
1173,Milo,M
1174,Milt,M
1175,Milton,M
1176,Mimi,F
1177,Minami,M
1178,Mindy,F
1179,Minoru,M
1180,Miranda,F
1181,Miriam,F
1182,Mirza,M
1183,Misato,M
1184,Mitchell,M
1185,Mitsugu,M
1186,Mitsuru,M
1187,Moctesuma,M
1188,Mohamed,M
1189,Mohammad,M
1190,Mohammed,M
1191,Mohsen,M
1192,Molly,F
1193,Mollye,M
1194,Monica,F
1195,Monika,F
1196,Monroe,M
1197,Montgomery,M
1198,Morgan,M
1199,Morio,M
1200,Moritz,M
1201,Morris,M
1202,Mort,M
1203,Morton,M
1204,Morwenna,F
1205,Moshe,M
1206,Motohiko,M
1207,Motti,M
1208,Mun-kai,M
1209,Murat,M
1210,Muzaffar,M
1211,Nadine,F
1212,Nadja,F
1213,Naima,F
1214,Nancy,F
1215,Nannie,F
1216,Naoe,M
1217,Naoki,M
1218,Naotada,M
1219,Naoya,M
1220,Nasser,M
1221,Nat,M
1222,Natacha,F
1223,Natalie,F
1224,Natalya,F
1225,Natasha,F
1226,Nate,M
1227,Nathalie,F
1228,Nathaniel,M
1229,Nazario,M
1230,Nazim,M
1231,Ned,M
1232,Neda,F
1233,Negar,M
1234,Neil,M
1235,Nellie,F
1236,Nestadar,M
1237,Nicholas,M
1238,Nick,M
1239,Nicky,M
1240,Nicola,M
1241,Nicolaas,M
1242,Nicolas,M
1243,Nicole,F
1244,Nigel,M
1245,Nik,M
1246,Nikhil,M
1247,Nikki,F
1248,Nikolaus,M
1249,Nina,F
1250,Niraj,M
1251,Niv,M
1252,Njeri,M
1253,Noah,M
