,Released,Movie,Genre,Budget,Revenue,Trailer,Year
284,10/4/13 0:00,A.C.O.D.,Comedy,,157690,,2013
285,12/31/09 0:00,ÃÅ Deriva,,,0,,2009
286,1/31/86 0:00,A.K.: The Making of Ran,Documentary,,0,,1986
287,4/15/08 0:00,Ã  L'IntÃ©rieur,Horror,,0,,2008
288,2/14/03 0:00,Ã  la folie... pas du tout,Thriller/Suspense,,1009827,,2003
289,12/31/09 0:00,A Mulher InvisÃ_vel,Romantic Comedy,,0,,2009
290,10/16/12 0:00,A Princess for Christmas,Romantic Comedy,,0,,2012
291,6/11/10 0:00,The A-Team,Action,110000000,77222099,Play,2010
292,9/4/09 0:00,Aage Se Right,,,0,,2009
293,2/21/14 0:00,Aaha Kalyanam,Romantic Comedy,,0,,2014
294,11/30/07 0:00,Aaja Nachle,Musical,,484108,,2007
295,12/31/07 0:00,Aap Kaa Surroor,,,0,,2007
296,8/12/11 0:00,Aarakshan,Drama,,651096,,2011
297,12/31/11 0:00,Aaron and Sarah,Romantic Comedy,,0,,2011
298,8/27/10 0:00,Aashayein,Drama,,0,,2010
299,4/26/13 0:00,Aashiqui 2,Musical,,0,,2013
300,1/24/14 0:00,Aatsinke: The Story of Arctic Cowboys,Documentary,,0,,2014
301,10/18/02 0:00,Abandon,Thriller/Suspense,25000000,10719367,,2002
302,12/31/09 0:00,Abandoned,Thriller/Suspense,,0,,2009
303,8/15/13 0:00,Abandoned Mine,Thriller/Suspense,,0,,2013
304,2/23/07 0:00,The Abandoned,Horror,,1255524,,2007
305,5/3/02 0:00,ABC Africa,Documentary,,8886,,2002
306,11/30/01 0:00,ABCD,Drama,,83372,,2001
307,2/8/13 0:00,ABCD (Any Body Can Dance),Musical,,222098,,2013
308,3/8/13 0:00,The ABCs of Death,Horror,,21832,,2013
309,9/23/11 0:00,Abduction,Thriller/Suspense,35000000,28087155,Play,2011
310,11/24/06 0:00,Abduction: The Megumi Yokota Story,Documentary,,26859,,2006
